"","fish_id","species","family","size_tl_cm","mass_kg","site","habitat","FunctionalGroup","trophic_level","Feeding_path","Lmax","K","tm","Calcium","Iron","Zinc","Selenium","Omega3"
"151","ZEDJ_004","Zebrasoma desjardinii","Acanthuridae",28,0.49,"M1","Macroalgae","Herbivore Grazer",2,"benthic",40,0.31425,3.8,30.219,NA,1.862,10,0.3121
"152","AVR_011","Aprion virescens","Lutjanidae",60.6,1.78,"C3","Coral","Piscivore",4.3,"pelagic",112,0.140000001,4.286896,NA,NA,NA,NA,0.1952
"153","ZEDJ_005","Zebrasoma desjardinii","Acanthuridae",29.5,0.55,"M1","Macroalgae","Herbivore Grazer",2,"benthic",40,0.31425,3.8,NA,NA,NA,NA,0.20083
"154","ASR01","Cephalopholis argus","Serranidae",31,0.61,"M4","Macroalgae","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,1.842205,1.038095,20.875,NA
"155","ASR05","Cephalopholis argus","Serranidae",21,0.184,"M4","Macroalgae","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.86056,0.7203825,18.7,NA
"156","ASR07","Cephalopholis argus","Serranidae",19,0.1085,"M4","Macroalgae","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.320985,0.486685,14.275,NA
"157","ASR08","Cephalopholis argus","Serranidae",17.25,0.0855,"M4","Macroalgae","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.7799525,0.61312,13.7,NA
"158","ASR09","Cephalopholis argus","Serranidae",16.5,0.08,"M4","Macroalgae","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.6602025,0.9023525,19.225,NA
"159","ASR10","Cephalopholis argus","Serranidae",30.5,0.4785,"M4","Macroalgae","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.6581525,0.6176975,13.15,NA
"160","ASR11","Cephalopholis argus","Serranidae",26.25,0.3165,"M4","Macroalgae","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,1.0949625,0.6875225,21.075,NA
"161","BOM02","Cephalopholis argus","Serranidae",27.75,0.3595,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.3858,0.60423,38.575,NA
"162","BOM03","Cephalopholis argus","Serranidae",30.5,0.491,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.269975,0.7844675,27,NA
"163","BOM05","Cephalopholis argus","Serranidae",26.25,0.307,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.2235375,0.393155,19.8,NA
"164","BOM06","Cephalopholis argus","Serranidae",23,0.1935,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.2729625,1.2642025,16.15,NA
"165","BOM08","Cephalopholis argus","Serranidae",15,0.0575,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.41038,1.44954,31.675,NA
"166","BOM09","Cephalopholis argus","Serranidae",16.75,0.073,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.28021,1.03613,22.625,NA
"167","BOM10","Cephalopholis argus","Serranidae",17,0.0825,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.3476,0.4659825,34.75,NA
"168","MAN01","Cephalopholis argus","Serranidae",22.25,0.171,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.35962,0.7095675,18.125,NA
"169","MAN02","Cephalopholis argus","Serranidae",23.25,0.224,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.298855,0.5864875,20.9,NA
"170","MAN03","Cephalopholis argus","Serranidae",21.5,0.1705,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.5518375,0.3346025,15.425,NA
"171","MAN04","Cephalopholis argus","Serranidae",25,0.2475,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.22478,0.88938,17.825,NA
"172","MAN05","Cephalopholis argus","Serranidae",14,0.0485,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.2225725,0.382945,14.2,NA
"173","MAN06","Cephalopholis argus","Serranidae",24,0.2395,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.4469575,0.4440425,14.825,NA
"174","MAN07","Cephalopholis argus","Serranidae",17.5,0.0775,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.2041375,0.3829825,13.475,NA
"175","MAN08","Cephalopholis argus","Serranidae",24,0.2425,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.5571525,0.64676,20,NA
"176","MAN09","Cephalopholis argus","Serranidae",28,0.423,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.21295,0.3940875,21.3,NA
"177","MAN10","Cephalopholis argus","Serranidae",34.25,0.6605,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.586565,0.6607475,22.825,NA
"178","MAN11","Cephalopholis argus","Serranidae",24.5,0.245,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.8576325,0.6148525,16.5,NA
"179","MAN12","Cephalopholis argus","Serranidae",33.25,0.648,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.165,0.412675,22.575,NA
"180","MEP01","Cephalopholis argus","Serranidae",34.25,0.7225,"M4","Macroalgae","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.471135,0.45399,46.165,NA
"181","MEP06","Cephalopholis argus","Serranidae",31,0.482,"M4","Macroalgae","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,1.06923,0.748365,39.25,NA
"182","MEP08","Cephalopholis argus","Serranidae",15.5,0.064,"M4","Macroalgae","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.89285,0.89285,47.075,NA
"183","MWP01","Cephalopholis argus","Serranidae",21.25,0.1595,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.24585,0.4379525,12.575,NA
"184","MWP02","Cephalopholis argus","Serranidae",20.5,0.137,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.2117575,0.3920725,14.5,NA
"185","MWP03","Cephalopholis argus","Serranidae",23.5,0.2315,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.1607,0.3123125,16.075,NA
"186","MWP06","Cephalopholis argus","Serranidae",40.5,1.214,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.4467275,0.3716275,15.1,NA
"187","MWP07","Cephalopholis argus","Serranidae",17.5,0.0795,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.3727625,0.5455825,19.325,NA
"188","MWP08","Cephalopholis argus","Serranidae",22,0.16,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.83051,0.45527,21.85,NA
"189","MWP10","Cephalopholis argus","Serranidae",36,0.808,"M4","Coral","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.504445,0.4890925,14.575,NA
"190","PSW09","Cephalopholis argus","Serranidae",29.25,0.4505,"M4","Macroalgae","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,1.1301925,0.629335,15.55,NA
"191","PSW10","Cephalopholis argus","Serranidae",27,0.353,"M4","Macroalgae","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,1.1724375,1.6198325,78.31,NA
"192","PSW11","Cephalopholis argus","Serranidae",32,0.5425,"M4","Macroalgae","Piscivore",4.16,"benthic",60,0.437230769,3.2,NA,0.594575,0.562935,15.8,NA
